participant_id,participant_group,major,workshop_group,geft_score,osivq_object_pct,osivq_spatial_pct,osivq_verbal_pct,osivq_cognitive_style,initial_prompt_length,n_turns,total_change,first_last_distance,img_usage_count,ideation_ratio,mean_char_count,mean_ctx_ratio
P1,FD,design,G1,14,100.0,4.78,96.18,object,297,5,2.0850975552775073,0.586311162989595,1,0.6,90.0,0.25
P10,FD,business,G3,10,21.0,83.39,88.36,verbal,120,2,0.45280628946933665,0.45280628946933665,0,1.0,98.5,
P11,FI,design,G4,16,99.95,56.02,99.99,verbal,141,4,2.03053642755024,0.7186299118750287,0,0.25,80.75,0.5
P12,FI,design,G4,18,99.93,40.42,100.0,verbal,263,3,0.3503831860515342,0.20065520619607113,0,0.3333333333333333,367.0,0.7202380952380952
P13,FI,business,G4,17,98.64,29.27,98.76,verbal,444,5,2.3395735290420885,0.7286810238430796,0,0.4,151.2,0.5
P14,FD,design,G5,9,60.8,67.53,96.18,verbal,328,2,0.17927515389597726,0.17927515389597726,1,0.5,300.0,0.16666666666666666
P15,FI,design,G5,16,56.41,74.75,97.72,verbal,166,3,1.238099542709214,0.471390967437458,0,0.6666666666666666,98.66666666666667,0.75
P16,FI,business,G5,17,91.23,99.9,99.33,spatial,686,4,0.48368678702504697,0.3996519822077842,0,0.5,574.25,0.5073063973063974
P17,FI,business,G5,17,89.29,80.61,99.33,verbal,105,3,0.8447618829878665,0.46785535668085043,1,0.6666666666666666,95.0,0.4444444444444444
P18,FD,design,G6,14,99.59,99.73,95.04,spatial,215,3,1.483755380519123,0.31506697698810127,0,0.6666666666666666,110.0,0.8888888888888888
P19,FD,design,G6,15,100.0,85.56,97.72,object,276,3,1.38911059106694,0.808814633317018,0,1.0,115.66666666666667,1.0
P2,FI,business,G1,15,98.64,71.25,96.18,object,19,10,6.921731716361258,0.634876499844945,0,0.8,77.4,0.5740740740740741
P20,FI,business,G6,18,97.04,36.37,99.93,verbal,139,7,3.4053275201348514,0.8248957565463586,0,0.5714285714285714,80.28571428571429,0.8166666666666668
P21,FD,business,G6,12,98.2,60.16,99.89,verbal,320,2,0.25835687637766314,0.25835687637766314,0,0.5,183.5,1.0
P22,FD,design,G7,12,87.06,60.16,97.09,verbal,278,2,0.2733565616803657,0.2733565616803657,2,0.5,290.0,1.0
P23,FI,design,G7,18,99.78,48.19,97.09,object,452,4,1.018974431976672,0.40815521379154884,0,0.5,222.25,0.3888888888888889
P24,FD,business,G7,10,97.04,91.37,93.87,object,153,2,0.4968852406876133,0.4968852406876133,0,0.5,136.0,1.0
P25,FI,business,G7,16,24.4,87.83,97.09,verbal,490,2,0.22227293400168568,0.22227293400168568,0,0.5,486.0,1.0
P26,FI,design,G8,17,99.99,19.81,90.29,object,149,2,0.33273101892808665,0.33273101892808665,0,0.5,158.0,0.8571428571428572
P27,FI,design,G8,17,96.2,22.44,82.83,object,530,2,0.26686132554431397,0.26686132554431397,0,0.5,485.0,0.8277310924369747
P28,FI,business,G8,15,99.95,97.56,99.66,object,366,3,1.234399958675125,0.8262125108097254,0,0.3333333333333333,201.33333333333334,0.37878787878787873
P29,FI,design,G1,17,99.89,98.85,96.18,object,312,9,5.254114166474397,0.7516591290493998,1,0.6666666666666666,69.33333333333333,0.2922077922077922
P3,FI,design,G2,16,95.33,32.47,99.76,verbal,207,2,0.732531674155396,0.732531674155396,2,0.5,132.5,0.6666666666666666
P4,FD,design,G2,10,97.72,3.94,98.31,verbal,32,5,1.9256614148992386,0.6463235516054178,3,0.8,43.6,1.0
P5,FI,business,G2,16,98.64,96.19,80.01,object,204,9,5.067691571369422,0.7089961287803528,2,0.8888888888888888,57.44444444444444,0.4166666666666667
P6,FI,business,G2,17,99.59,67.53,93.87,object,331,2,0.4032361633627928,0.4032361633627928,0,0.5,319.0,0.9
P7,FD,design,G3,8,99.43,80.61,99.76,verbal,216,11,5.6852486930853425,0.6628929443950485,3,0.8181818181818182,93.81818181818181,1.0
P8,FI,design,G3,18,98.99,56.02,99.76,verbal,106,2,0.5369201113573032,0.5369201113573032,0,1.0,73.0,1.0
P9,FD,business,G3,12,97.04,91.37,99.66,verbal,123,7,1.923197364646668,0.4064417506204113,0,0.7142857142857143,156.71428571428572,0.3333333333333333
